User ID,Username,Retweet Count,Mention Count,Follower Count,Verified,tweet,Label
715347,wellsvicki,83,0,7074,1,must anoth goal alahli otherwis grave danger,1
810631,rodriguezcynthia,55,4,6242,0,haha next week boatman got fat thought sukkari alqassim im asham world leader leagu,0
529620,taylormitchell,86,5,2553,0,haha atkinson fourth offici dont say guy,0
599472,dfigueroa,3,0,7752,0,alahli club board director dont listen sen humor happen hahaha audienc upset hahaha love haha club lose,0
459712,hcochran,38,1,8029,1,smouha studi loan ammar hamdi januari koller give green light renew contract alahli trio ontimenew,1
360909,michelle89,33,3,2220,0,libyan leagu simpli open match chanc find fight even dont fight lie field verdict accord opinion quarter hour increas tire discus secur exist player enjoy two team club group haha receiv full brigad jai yamen match,0
749135,jasmine43,73,0,8352,0,haha brazil biggest nation even coach celebr,0
301212,rgilbert,65,0,3287,0,pharco score first goal zamalek,0
845958,meyerdavid,95,5,2797,0,news like honey heart stop two year run like one hit last rakah alahli like alittihad,0
895090,jennifer42,35,1,5210,0,dr ashraf sobhi minist youth sport met player egyptian youth footbal team year old technic staff led captain mahmoud jaber presenc gamal allam presid footbal associ meet ghanaian counterpart local friendli today cairo stadium,1
930919,robinsonjoseph,16,5,6123,1,gamal abdel hamid fella illegitim member zamalek council tell tie pyramid matter much tri stop took turn twice cup serious statement say least absurd superfici like said job club fan loser everyth,0
633717,wrightanthony,19,5,1813,0,alahli,0
338195,laura14,4,3,7971,0,bassem ali rightback futur team regain luster egyptian leagu brillianc new club sinc start current season,1
182586,sarahbaldwin,44,0,4779,1,announc list profession nation team camp today absenc elneni ontimenew,1
471797,florestheodore,26,4,3151,1,tie settl day match bahri group promin tie dikirni municip elmahalla mansoura tanta,1
919354,anna00,31,4,6400,0,thousand salut colleagu maher jenina may rest peac lord better first god will,1
425372,barbaradunn,94,3,8294,0,qai saeed take constitut oath swear god high great goal premiero avesto correct unquestion haha,0
374778,howetravis,10,3,407,0,portugues josevaldo ferreira coach first footbal team zamalek club decid push mahmoud abdel razek shikabala team playmak tunisian esper match today,1
353489,chadmoore,100,2,576,0,sourc insid arab contractor club reveal club receiv friendli contact alahli club offici regard contract omar fay defend mountain wolv,1
728176,tayloramanda,91,4,4755,1,khale alghandour former star zamalek present zamalek channel apolog zamalek channel yesterday present daili program respons mahmoud kahraba particip alahli,1
110135,johnwilson,90,1,323,1,swear god shame leagu daughter father abha,0
841940,sabrinanunez,97,0,2744,1,haha global goal bailey fire,0
